bedroom,net_sqm,distance_to_center_km,distance_to_metro_km,floor,age_of_house,price
4,196,1,4,19,33,201748
1,149,9,6,6,28,136274
5,136,17,4,11,24,147566
2,57,22,7,10,4,56670
1,110,1,7,16,2,107094
2,166,3,6,18,13,175644
3,136,15,9,14,46,126374
5,40,21,2,4,49,28897
1,171,23,8,12,11,149750
1,43,10,8,8,35,22151
1,164,8,4,7,39,157426
1,121,12,6,9,10,106744
1,66,22,6,17,43,43775
2,98,15,5,10,10,86855
5,71,9,1,3,8,96492
3,67,24,3,8,5,71055
3,145,10,7,14,23,153294
3,144,20,8,7,34,128485
3,109,9,2,16,47,108208
2,101,15,3,18,32,99259
4,73,23,4,11,16,62516
5,126,21,5,6,4,134855
1,153,21,3,14,28,140574
4,145,1,5,13,48,155303
3,95,2,8,4,44,83479
4,152,19,8,11,14,158138
5,52,14,2,18,12,63014
1,57,8,6,1,21,48810
1,152,6,4,12,48,147889
5,78,12,9,18,16,95805
5,118,15,2,7,44,110747
3,185,14,8,12,2,181523
1,190,21,1,1,23,177572
4,69,1,6,4,29,83507
2,137,11,1,18,46,117959
2,97,3,2,15,43,85936
5,106,19,3,3,9,102780
3,110,18,9,7,7,113945
2,185,20,5,6,29,173439
1,145,2,2,15,44,131915
5,46,7,5,15,17,61426
4,79,8,5,6,9,84497
5,109,19,1,8,6,127386
4,107,22,3,8,44,94964
5,88,15,5,1,20,99942
5,91,10,9,13,10,104281
5,153,22,1,13,9,168624
4,146,1,8,11,12,161698
4,68,6,1,4,33,65312
5,188,13,9,7,32,196799
2,117,14,6,12,34,102355
3,48,3,1,13,19,57585
3,115,11,8,12,33,117459
3,81,3,5,16,48,73569
4,167,19,7,6,16,169082
4,59,10,7,14,23,68836
2,194,15,7,19,26,193274
3,111,11,6,16,45,97162
3,104,15,8,4,44,85238
5,152,24,9,5,41,134866
4,63,13,2,9,37,61551
3,167,5,7,3,9,171348
2,122,4,2,10,30,130679
2,102,13,6,17,13,88287
3,99,9,2,19,48,95773
4,138,17,6,10,42,139898
2,101,2,2,12,16,103408
5,69,24,1,7,46,68579
2,61,5,7,18,2,60033
1,165,16,3,19,31,144340
1,196,7,4,15,43,177542
4,81,1,6,7,19,102335
3,137,12,5,12,11,136733
4,70,21,4,7,14,73076
4,197,11,9,10,47,187605
4,151,12,6,10,25,148770
4,185,19,6,5,7,179604
5,161,12,2,18,15,179967
5,56,12,6,9,30,63173
2,77,14,7,16,31,70408
1,181,2,8,7,24,166861
4,149,2,8,10,25,160945
2,61,4,9,5,8,69704
1,95,20,3,7,30,79408
3,158,23,7,5,36,148162
5,186,16,7,15,14,190077
1,96,10,1,19,29,84385
3,74,13,8,10,27,67384
1,153,2,4,8,36,138238
5,164,3,5,9,34,165893
5,168,19,6,11,21,177142
2,91,6,3,2,38,91970
4,124,19,5,3,11,125401
1,104,21,5,13,33,74980
1,168,20,1,11,15,157079
3,60,19,3,10,12,58945
5,55,8,3,15,24,71533
1,162,14,1,6,37,146677
5,100,10,7,1,11,108023
1,93,3,1,14,19,82420
2,65,6,7,18,1,60875
4,119,15,4,11,17,123754
1,104,23,9,8,40,66896
5,139,23,7,3,16,146993
2,113,18,5,14,26,110215
1,56,14,7,2,43,40519
3,160,19,9,16,43,144016
4,62,10,6,6,15,72070
1,174,15,1,1,8,155547
2,110,4,6,14,30,110850
3,147,23,1,10,14,138011
2,118,2,4,6,33,107586
2,85,3,8,9,42,68110
3,117,7,5,7,7,123960
2,55,23,5,2,18,47088
3,110,16,8,11,12,100346
1,135,10,8,14,2,125551
3,186,19,1,5,29,184981
3,41,17,5,9,21,25896
4,49,19,5,7,7,57947
3,164,5,8,14,27,165896
3,120,23,1,16,12,106898
1,179,20,7,16,20,162237
4,109,13,7,7,14,108210
5,189,13,9,10,10,193584
1,71,11,2,6,41,58497
1,144,11,3,17,23,125776
5,123,16,4,1,30,133944
3,168,15,1,2,47,146853
2,97,17,7,14,31,89389
4,185,22,3,4,10,185324
2,173,18,3,9,19,169035
5,84,19,3,6,19,78028
1,136,4,8,17,44,130190
1,62,22,9,11,23,42222
4,62,22,2,4,44,41984
1,193,23,1,9,41,171260
1,174,5,9,16,32,172951
4,118,7,6,3,20,124041
4,83,2,9,4,4,87031
5,66,1,6,3,33,81611
1,65,12,2,13,48,48827
1,136,10,1,19,1,134028
5,75,8,8,1,13,92845
3,148,1,3,6,3,151089
3,94,12,1,3,12,91635
3,108,2,8,3,29,102445
5,100,10,1,16,31,101692
1,169,22,8,10,41,139659
5,94,17,1,17,36,91281
5,161,3,9,7,2,189789
3,136,7,9,13,22,129291
2,119,12,9,11,22,118102
1,126,8,3,10,41,116004
3,77,20,4,7,31,58352
2,158,12,5,6,45,137491
2,117,3,6,1,14,117466
4,196,17,9,17,29,199759
1,193,9,4,12,35,175929
2,74,10,6,4,9,68653
3,118,22,1,3,47,91463
4,106,6,2,6,32,103587
1,126,1,8,16,27,123342
5,196,22,4,13,10,199069
3,73,12,7,9,25,70926
2,136,5,4,11,49,121415
2,190,13,9,13,45,178855
3,110,15,9,19,33,105044
2,42,22,4,3,11,20000
4,97,11,8,12,37,96434
1,71,8,6,19,9,59377
4,70,5,1,8,7,78864
2,121,2,7,14,7,134385
5,82,12,1,9,34,96490
1,174,2,3,17,19,175748
1,144,16,8,6,20,128663
3,40,21,9,4,42,29181
3,100,3,3,4,25,109513
5,53,10,1,19,5,66387
1,45,19,1,12,48,31815
5,142,8,7,2,29,156716
3,49,7,5,17,27,51369
3,110,1,1,15,25,110998
1,129,12,6,10,37,116082
4,197,5,6,3,15,213835
2,188,16,4,4,48,173008
3,165,4,7,1,4,172330
3,136,17,7,1,14,130652
4,113,24,9,18,49,95251
4,154,21,1,4,17,152255
5,90,2,5,15,21,108189
5,95,12,3,10,16,107495
2,80,1,7,17,26,84133
2,71,12,4,12,9,59698
1,54,12,4,12,2,53567
5,101,12,1,16,43,114628
3,194,19,1,5,15,196442
5,67,17,2,16,35,68103
3,103,20,2,17,24,97297
4,169,24,1,15,48,161107
5,166,24,8,13,38,160824
4,75,11,6,8,14,71397
2,153,13,6,2,37,139595
2,52,8,9,8,37,37313
1,54,10,5,10,6,46011
5,128,8,4,7,18,136511
4,61,20,6,10,22,51354
3,113,8,8,4,18,112819
2,64,9,1,11,2,62212
2,140,7,7,9,32,132080
3,156,14,8,4,17,159940
4,80,2,9,3,1,100028
4,127,11,8,11,9,137652
5,149,8,7,3,13,157902
5,159,13,3,18,36,167560
1,136,21,2,19,37,121327
2,184,15,3,14,30,165747
5,96,3,4,11,31,116398
4,169,23,4,2,23,164751
3,135,14,6,2,28,136097
4,160,15,7,2,10,167012
2,101,2,4,10,25,93851
4,176,19,6,15,36,173827
1,107,12,9,12,26,91465
2,120,20,6,11,26,95728
3,56,4,3,17,45,55185
1,156,3,1,18,13,160684
2,89,5,5,14,17,86173
3,151,3,3,17,40,161294
1,133,15,8,15,4,121514
1,124,19,1,12,23,99937
2,188,2,2,16,35,196052
5,185,12,3,6,11,191272
1,196,5,3,2,12,185574
1,191,22,8,2,9,165373
3,113,17,5,16,15,120453
4,148,14,8,2,45,144851
2,184,22,6,8,37,164055
2,57,10,2,7,5,53262
5,81,3,4,1,19,90736
5,140,4,9,4,11,150146
2,84,6,4,11,9,94320
5,121,24,5,7,35,116138
3,56,22,5,18,27,40608
2,112,16,8,4,13,96568
5,53,7,6,17,12,61546
2,196,15,7,11,9,193984
4,171,21,6,11,42,151842
1,121,20,5,11,28,104363
2,187,11,5,15,13,182999
1,159,22,3,14,20,135431
5,159,21,7,17,13,162965
1,86,1,5,2,27,77302
2,146,5,7,18,26,151144
4,147,13,2,16,29,156394
5,48,21,9,12,29,37702
2,118,14,8,10,22,117217
5,194,9,5,16,9,209343
3,54,17,2,3,24,38161
1,58,15,6,8,42,32493
3,129,21,8,2,19,125071
2,65,7,7,1,38,61292
4,193,22,8,14,31,183358
5,193,22,4,4,39,182592
1,131,12,3,4,15,128137
5,121,23,7,9,32,114325
2,170,6,2,3,46,164817
5,81,21,5,5,48,73079
1,58,16,7,1,46,27616
2,56,5,1,19,29,53051
5,115,9,4,1,34,125330
4,102,14,2,10,9,108410
2,170,8,6,12,35,154013
2,146,14,1,10,6,147836
4,88,12,7,2,37,85795
3,94,10,3,16,14,95249
1,193,20,1,8,47,166005
3,138,20,8,14,49,129828
5,91,21,7,15,9,104355
4,139,13,2,16,19,139538
3,156,19,7,11,23,150480
2,157,15,3,12,41,145856
5,46,8,9,2,28,52276
5,85,23,8,4,16,89959
3,85,21,5,3,26,77912
3,139,10,7,9,38,137187
4,183,3,3,18,40,198289
1,191,21,1,19,25,178044
3,93,3,1,7,35,104239
3,101,5,2,4,5,118683
2,168,16,8,6,7,152735
5,88,17,1,19,23,96966
1,64,6,5,1,25,47498
2,49,20,9,16,1,34786
4,157,20,9,11,22,147540
4,183,16,2,4,4,191535
3,196,24,7,18,28,183508
3,131,2,1,5,48,126936
4,173,20,3,6,14,180661
3,183,15,6,2,33,170903
1,187,18,9,12,4,174996
3,119,1,2,9,42,114339
5,110,19,7,12,11,122622
3,117,12,4,13,39,104438
2,82,8,2,17,32,84959
1,193,6,3,5,4,184662
2,129,12,6,13,1,121452
2,117,7,9,13,26,114589
5,65,18,8,10,33,54537
1,160,22,9,15,17,142843
1,84,14,4,15,27,76497
1,102,8,4,18,42,93986
1,107,24,9,18,5,83133
1,193,20,8,2,7,178302
5,41,22,2,11,25,46701
3,181,14,8,13,8,176206
2,147,5,1,11,34,137153
1,69,9,9,4,41,60533
3,88,8,9,15,4,87210
3,179,2,8,11,12,181680
2,83,16,5,18,31,80770
5,52,13,5,16,11,59191
4,117,7,3,10,37,127557
4,165,16,5,12,44,153575
3,137,7,4,13,36,139004
2,65,14,1,9,45,57810
4,188,14,9,13,22,179561
3,195,12,4,6,1,196933
5,87,1,3,6,4,108012
4,105,1,6,11,36,108132
3,126,12,1,19,8,125184
3,118,20,5,11,25,110009
1,62,21,7,10,28,35923
5,120,15,2,15,38,125060
1,87,4,9,13,36,76334
2,163,7,6,8,36,163703
1,169,16,2,5,43,155174
1,123,3,8,2,41,113837
4,59,7,8,16,46,51845
3,85,24,1,13,4,72082
5,170,22,1,19,13,183988
1,51,6,1,9,38,36685
5,79,16,4,15,45,78069
1,105,24,4,6,25,74717
2,139,8,8,8,3,138787
1,117,23,1,14,32,99018
4,55,22,3,5,39,50315
3,122,6,1,17,1,143598
2,83,10,9,7,11,69250
1,173,16,9,9,2,160069
5,139,11,7,16,5,159712
2,61,13,8,18,22,54543
2,57,6,1,13,46,43698
1,51,24,5,18,13,41325
2,162,1,2,10,48,156532
5,156,21,1,1,23,152805
2,90,19,3,18,47,81713
5,110,12,7,19,31,107602
1,87,24,1,2,35,69234
3,58,6,2,4,38,49606
2,45,18,2,11,41,38788
3,123,13,4,3,35,114205
5,194,7,3,9,45,199575
2,92,23,3,10,13,83305
4,146,13,5,2,7,157905
3,140,21,3,7,5,133203
2,87,8,7,15,29,75082
3,174,21,5,19,8,174560
2,108,17,4,10,8,105559
1,50,9,3,14,7,43864
3,182,20,4,4,19,178334
4,170,13,2,11,39,170989
4,161,2,1,3,23,164329
5,108,4,3,17,36,122647
2,62,2,2,7,42,65702
3,76,4,1,11,32,72068
5,48,18,1,18,45,50613
3,54,5,2,14,4,70484
2,170,19,9,14,30,157073
4,132,10,5,6,42,127768
1,56,18,9,9,39,35460
4,193,21,8,3,5,192608
5,188,10,6,17,3,211934
1,111,5,1,12,22,106196
5,188,17,5,4,28,185940
2,160,22,1,16,22,157783
1,50,13,7,10,22,46091
5,111,23,8,7,34,108719
2,145,17,8,10,29,128374
4,164,9,7,7,43,170192
2,74,24,2,18,42,49521
3,158,12,5,9,13,149866
2,53,14,4,18,7,51438
2,53,14,5,17,10,41618
3,49,8,9,11,28,46357
5,179,23,4,1,4,183326
5,77,5,8,17,32,92082
2,147,19,8,4,22,139711
3,158,14,2,4,20,153048
3,73,9,6,14,48,57342
4,49,7,5,9,20,66307
5,161,8,2,13,6,170815
1,184,14,4,16,9,172674
5,184,22,7,1,28,170460
5,154,14,1,3,13,157642
4,40,11,9,19,31,49136
1,51,14,1,8,39,41446
4,142,21,5,18,14,141447
1,43,8,7,6,22,24028
2,180,3,8,6,37,181113
1,137,23,2,5,45,118860
4,145,18,4,12,24,153425
5,124,3,2,9,8,147063
1,160,13,4,9,15,143040
1,171,12,6,17,41,161765
3,121,15,6,19,6,121730
5,58,18,2,17,23,68157
2,169,5,4,16,25,162257
4,51,7,4,12,31,59711
2,120,11,1,3,46,111886
5,113,11,2,14,29,130880
1,137,15,3,17,23,133334
1,45,10,5,16,10,39502
5,175,15,8,12,9,176863
1,164,13,6,2,49,135763
1,90,14,3,8,13,74007
1,50,17,6,12,32,25875
4,166,13,7,16,49,164658
4,179,10,6,8,45,182333
3,112,1,6,16,41,108851
2,41,1,1,10,1,47619
5,47,15,3,15,1,66645
5,178,16,7,4,37,174818
5,163,12,4,15,40,165135
3,92,24,4,4,18,79983
4,49,6,7,11,36,60559
3,151,6,9,6,31,153056
5,47,12,2,4,1,65040
2,75,15,9,9,47,57063
1,145,4,3,9,36,141525
4,53,24,6,3,9,57106
4,125,4,4,5,22,126278
3,188,2,1,15,28,197642
4,89,24,9,9,26,81373
5,59,12,6,2,10,62121
5,126,7,8,3,47,130237
3,174,20,2,12,3,178561
5,176,9,7,16,2,188911
2,168,9,6,5,37,166520
3,193,8,2,10,31,190387
2,77,14,2,15,33,67896
1,83,1,4,14,32,88143
2,125,23,4,14,43,96230
1,83,21,3,13,12,72777
1,113,23,8,16,3,94518
2,158,12,7,8,48,138999
3,161,2,2,8,26,158229
5,173,13,3,17,14,190428
5,184,4,9,17,12,191511
1,90,20,5,3,26,61281
1,77,18,2,1,16,61539
3,191,19,3,17,8,200154
4,90,16,8,16,49,73005
2,49,14,4,17,49,36978
1,159,8,2,2,28,151846
5,188,12,2,14,7,197695
3,109,9,6,7,15,117899
2,124,6,8,19,41,118397
3,96,18,7,1,36,87922
2,165,2,4,17,8,172068
2,78,23,2,10,10,63212
1,72,8,9,6,15,54837
3,57,24,4,7,18,46322
3,96,14,9,6,46,84698
5,135,6,5,5,37,139686
5,87,10,7,2,41,79749
1,81,8,5,18,45,73590
1,66,17,2,17,43,38336
4,113,12,6,7,44,101850
5,149,17,7,19,35,157278
2,71,13,6,7,2,72663
3,65,19,3,7,22,67783
1,64,12,8,16,15,48943
3,114,16,3,12,37,108433
3,62,5,5,15,39,63359
4,96,16,9,15,36,85852
5,165,6,5,11,5,181242
1,126,11,7,2,48,94725
3,70,17,7,3,15,56153
1,103,23,5,19,27,80819
2,72,14,2,15,16,77873
4,41,6,5,16,36,44623
2,57,23,7,1,38,29061
1,123,11,7,15,18,120328
1,74,12,4,12,35,51152
5,153,13,1,7,25,158723
3,185,4,6,7,22,194306
3,149,7,3,11,31,150423
2,127,2,5,11,37,133968
4,111,6,4,17,34,111209
3,164,6,2,3,23,158211
5,69,18,7,16,16,82778
2,92,20,5,5,6,83898
2,177,8,7,2,15,169238
5,126,8,9,7,18,133888
4,178,8,4,10,38,177177
5,52,8,5,5,13,61609
4,79,1,9,15,24,81570
5,128,2,4,12,13,140556
5,107,12,5,10,1,115734
1,81,15,5,17,48,53984
2,186,4,8,11,36,186997
5,133,3,4,8,49,141354
5,58,14,4,15,18,71944
3,62,22,7,2,48,44209
2,93,23,5,17,33,71748
3,104,8,6,6,38,95191
2,179,13,6,13,43,172603
3,63,23,6,8,6,63690
5,73,19,5,11,17,86994
5,92,22,5,15,4,107803
1,175,5,9,13,14,171758
3,57,13,8,18,30,57202
4,96,20,4,18,46,82695
1,151,1,7,17,20,149656
3,44,16,8,13,8,49576
3,193,23,9,3,2,185019
1,197,24,5,7,37,172019
5,52,2,3,12,4,77478
3,122,7,4,4,10,120925
5,68,6,6,11,20,82958
1,42,5,5,14,35,35857
5,129,4,9,18,48,126860
2,143,2,3,7,10,140348
4,162,10,2,5,28,161852
3,115,22,6,16,15,109267
4,169,5,7,11,36,182480
5,147,18,5,3,1,145605
3,195,10,1,16,22,199778
5,121,23,3,11,27,125385
2,116,22,3,10,29,109899
1,41,15,4,2,15,26714
3,166,9,6,16,10,179061
2,174,11,5,17,20,171579
2,65,21,1,10,22,54304
3,127,17,6,18,48,118439
5,55,21,9,12,9,67796
2,190,9,1,8,32,186129
4,112,23,8,3,17,105992
2,71,16,8,3,42,44071
5,54,6,3,6,19,65134
5,180,22,9,2,40,180912
4,44,11,8,3,27,36035
2,113,23,3,17,37,87125
5,91,17,5,9,34,90806
3,116,4,3,4,47,108985
1,149,15,5,2,49,122416
1,182,1,9,9,10,187044
1,145,22,4,14,30,115625
2,166,20,6,11,21,144633
4,46,1,3,2,21,60407
5,79,9,3,2,34,86103
3,195,12,5,5,9,198352
3,199,4,8,7,34,203801
2,138,22,8,4,12,132506
1,182,13,3,14,47,170785
2,124,7,8,2,21,118247
4,104,8,8,12,20,113531
4,171,13,3,10,6,183285
5,50,11,2,1,45,43420
5,147,9,2,19,36,149190
4,65,24,9,16,12,52017
4,190,16,7,15,41,181700
4,124,10,6,14,31,126216
2,190,11,7,9,2,191359
4,162,12,8,15,16,162741
3,183,14,1,7,1,196864
1,107,19,8,4,4,90339
4,143,12,3,18,47,136177
1,119,18,3,8,1,110832
2,198,21,6,12,47,180771
1,92,17,4,15,35,67701
2,145,3,4,15,13,146757
3,192,1,4,17,45,191610
2,83,19,9,2,42,59199
2,179,4,8,12,31,180093
5,129,23,3,3,20,134832
4,140,16,1,7,7,154926
4,136,12,1,6,40,129550
3,48,21,1,14,33,43149
3,51,21,4,5,28,36760
4,108,13,6,4,44,108783
5,67,17,4,15,44,63196
4,95,8,3,7,20,111067
5,138,13,8,3,32,143801
3,149,20,8,13,9,138943
1,116,5,6,10,34,103634
3,142,18,9,2,14,144177
3,145,15,1,12,4,148256
2,148,12,8,12,29,129952
2,151,17,6,19,15,149963
2,97,15,1,19,17,95829
2,117,2,4,3,19,109962
5,114,6,5,6,38,126234
4,81,17,7,2,9,79189
1,107,16,8,13,27,90350
3,72,17,9,9,49,62596
5,110,20,6,13,15,108755
1,95,9,9,14,37,78749
5,144,5,4,19,28,159197
5,140,23,8,11,4,153103
3,90,1,3,14,21,95845
4,113,6,4,16,34,121095
2,160,24,4,10,19,154175
4,182,14,6,16,37,171894
3,182,17,9,2,4,182966
3,44,19,6,16,37,38022
3,122,1,1,14,32,135758
1,90,1,5,18,45,80033
4,49,13,9,6,48,41743
4,179,14,5,7,12,177092
5,43,6,6,13,41,45323
5,134,6,3,2,16,141817
5,185,1,8,15,14,196268
3,119,14,4,17,1,129906
4,75,3,4,13,32,90923
3,64,23,5,7,21,47638
1,137,10,9,1,4,130001
5,140,19,8,3,9,139998
3,48,19,7,18,46,43469
3,100,19,5,7,22,95228
1,92,23,9,17,12,75219
2,185,4,9,12,30,185422
4,102,20,2,16,30,94189
2,160,19,4,10,32,141228
5,144,10,8,16,36,153026
3,43,2,1,18,7,59725
1,132,4,5,15,17,127622
1,67,24,8,11,1,59583
4,119,6,2,18,14,133273
2,115,7,2,6,47,109012
4,155,16,8,1,44,149672
3,108,7,9,7,44,106000
4,137,18,7,12,38,123003
1,40,20,8,4,26,20000
1,135,22,5,10,27,114760
5,56,19,1,2,45,53284
5,151,9,4,9,16,164075
3,130,20,2,10,46,108274
2,127,10,3,11,7,125425
4,129,13,3,14,32,122365
3,88,18,9,3,25,70408
5,77,16,4,1,31,72774
4,190,22,2,7,16,187094
5,189,17,3,4,41,191537
4,171,22,3,7,14,174410
2,98,13,7,16,25,89045
3,107,12,8,10,30,91522
4,169,10,6,15,7,186240
1,88,1,4,16,12,97170
1,165,8,6,6,3,160343
4,198,21,1,4,27,187833
4,150,22,8,4,46,126390
4,87,18,1,4,19,82756
1,90,2,5,17,43,86050
1,82,16,2,13,37,59409
4,137,12,6,2,45,124880
5,163,9,9,6,42,174086
5,119,3,5,1,7,145788
2,150,22,4,8,49,118171
3,182,21,2,18,16,187208
5,66,4,3,4,32,82092
1,197,2,6,5,8,198922
5,152,8,8,5,49,162687
2,125,10,8,15,13,122483
2,153,16,5,10,11,141950
3,163,23,5,8,20,155474
5,88,11,3,7,18,91907
1,115,18,7,12,37,86497
1,94,22,6,11,6,88262
4,95,14,1,13,20,108922
1,134,8,4,15,32,125278
3,83,23,6,17,46,75530
3,198,15,6,18,44,198255
1,126,17,3,8,29,100424
1,123,21,6,6,4,114168
4,190,18,6,11,7,193849
1,195,6,9,9,43,179317
4,55,23,9,5,20,54966
4,188,14,2,7,34,193642
1,184,23,4,15,36,164440
2,76,3,9,4,7,84637
2,116,7,4,19,33,111290
4,186,15,8,13,15,196995
1,197,21,3,1,32,168470
2,84,24,3,1,22,62036
1,185,16,9,14,40,155212
1,101,16,8,9,29,74302
1,139,8,1,12,25,130151
5,91,7,2,18,5,117170
1,58,6,3,9,14,50554
5,148,2,2,8,35,171211
4,83,22,3,14,2,86573
2,46,13,8,9,25,41203
2,156,12,6,2,16,158495
2,107,15,7,1,46,91661
2,73,9,6,13,16,69518
2,108,2,1,10,11,106431
2,94,17,3,8,49,67621
2,49,5,1,7,35,37216
4,81,11,9,12,23,89078
1,80,22,9,17,5,71275
3,161,19,5,12,35,143632
5,177,24,4,16,29,183653
3,49,7,9,10,47,47282
3,141,2,9,12,5,159568
1,167,16,3,11,3,152679
1,188,12,5,14,6,188886
1,175,23,3,13,23,162611
2,131,15,2,2,46,112798
4,152,1,1,7,2,167763
2,117,13,2,1,18,119218
4,124,23,8,3,30,120957
4,69,6,8,12,38,70032
3,88,13,3,5,5,92554
3,48,18,7,12,46,28862
4,184,3,7,3,49,177811
4,108,1,2,5,11,117206
2,97,15,9,1,1,89037
2,101,13,3,16,10,101433
3,91,5,2,9,41,94718
1,79,13,3,10,44,59604
4,102,22,2,10,26,103485
2,186,5,8,13,33,172101
3,89,19,5,16,27,81404
2,180,21,3,4,12,159445
4,117,24,5,14,2,110033
4,136,18,8,17,1,132709
5,82,21,7,5,1,83301
1,75,22,6,13,33,46185
5,161,10,1,3,22,163715
3,147,24,1,5,12,145741
2,49,8,1,16,39,49363
3,134,15,8,19,36,118184
4,45,21,8,19,21,42054
5,96,20,7,17,20,90175
5,168,23,6,18,36,163904
5,110,22,4,18,26,104723
3,60,4,1,8,47,57507
4,131,2,9,18,31,130219
2,166,24,1,9,1,148849
2,119,6,4,19,38,117981
3,95,3,3,10,14,96240
5,155,7,7,2,26,162949
1,187,10,5,17,46,179762
3,64,23,5,13,42,53722
3,195,6,4,11,7,196285
4,44,16,1,16,12,52361
2,159,2,5,7,24,154805
3,60,24,4,3,19,56228
3,57,17,8,16,9,45605
5,96,13,2,19,35,111708
5,132,1,8,16,4,162518
1,58,6,1,2,45,37084
4,167,5,4,14,42,162945
1,136,13,3,10,32,127716
5,170,23,5,19,46,163261
2,60,18,5,11,6,62430
5,79,12,5,18,28,91074
4,106,7,4,11,28,102977
5,192,15,8,9,40,190325
4,166,3,3,19,29,177509
4,94,16,4,10,42,89180
4,148,1,1,3,5,158914
4,137,16,7,3,5,142205
4,151,24,1,8,37,134736
2,154,12,2,6,41,133645
1,156,19,7,1,28,126141
3,126,8,1,6,41,127330
1,120,23,3,2,47,94598
4,105,12,6,19,9,122558
2,58,15,6,7,29,43204
5,174,2,6,11,14,192147
2,157,17,2,11,38,150273
4,81,7,2,4,40,73319
2,81,13,6,16,34,66769
2,98,1,5,5,37,90432
4,59,6,7,7,49,62049
2,112,13,7,16,42,100946
3,56,11,5,15,14,50113
3,66,10,8,5,18,70175
2,41,16,6,1,33,23123
5,102,24,5,9,34,89933
4,101,23,4,5,28,102520
3,139,20,7,6,36,120559
5,58,17,4,3,45,56755
2,56,17,5,6,48,38780
5,108,4,5,8,37,119776
1,156,5,1,6,23,151618
3,120,23,1,16,42,112418
2,78,14,3,16,17,72741
4,75,20,3,3,11,79996
2,171,10,2,17,32,172096
4,192,14,2,6,37,199442
2,197,1,6,6,15,204034
5,68,11,1,19,4,88541
5,90,23,6,15,39,75355
5,191,18,5,19,30,191543
1,53,16,6,2,10,34220
4,108,18,5,8,23,104667
5,185,8,7,7,24,200426
1,96,10,1,8,36,78399
4,51,10,3,13,5,66487
2,56,5,6,15,37,51446
1,69,10,1,12,43,60435
3,127,18,7,15,19,111459
1,138,21,4,14,37,118573
1,62,24,3,7,8,40831
4,168,6,9,17,7,172764
2,118,3,1,5,40,105894
3,71,8,8,10,13,74421
5,48,9,1,19,37,53686
5,54,5,5,18,27,77871
1,195,2,8,10,18,195675
4,191,2,6,2,24,194587
4,66,7,7,6,41,75605
5,148,17,8,3,2,158288
3,115,10,6,19,16,114580
2,187,12,6,5,14,184733
3,104,2,6,7,17,118457
2,148,10,5,7,6,140653
5,168,20,8,10,35,162644
2,49,1,2,1,17,51574
4,86,4,7,11,45,90439
1,162,13,4,7,38,140037
1,98,12,1,6,40,84377
5,135,11,5,6,6,146849
4,142,10,3,13,48,144485
3,163,15,4,16,38,151715
4,125,5,7,13,49,125134
1,185,17,5,2,21,172703
1,151,5,4,19,35,135682
4,199,2,1,19,23,213273
4,66,9,6,19,12,70358
1,57,6,6,18,29,47412
3,121,18,7,6,27,115231
5,111,14,1,2,6,113039
5,93,19,4,19,21,95944
4,110,14,9,6,7,105215
5,185,8,6,15,43,185001
1,77,17,2,6,41,58630
1,176,3,4,3,16,177585
4,74,10,6,11,5,80985
4,121,17,4,8,15,121720
4,172,11,7,18,21,177446
3,181,8,3,17,4,194450
5,197,1,6,19,5,219036
4,43,13,4,19,7,61103
2,192,21,3,17,35,169835
2,195,4,3,4,36,199278
1,189,7,2,7,15,175687
5,198,14,3,5,28,205109
4,62,5,1,16,2,71083
2,87,24,3,6,5,80346
5,187,11,9,14,7,207906
1,164,17,4,2,22,156578
3,94,5,3,18,49,89948
5,107,20,8,18,31,103153
5,127,3,1,13,32,151384
3,40,5,5,18,8,40475
5,174,15,1,17,41,184719
1,134,19,7,13,42,118170
1,179,16,5,12,11,174579
3,145,8,2,3,1,155870
4,172,13,1,7,47,160401
2,147,16,7,1,40,130539
4,81,3,1,5,19,98156
5,141,1,3,1,44,148762
2,163,9,6,4,38,152246
3,179,9,6,1,42,165588
3,142,22,7,13,37,131286
2,185,17,1,14,7,177949
1,113,24,7,15,39,82780
2,147,2,2,17,25,153622
5,161,9,6,12,22,169394
1,56,24,8,7,27,34501
3,110,19,5,19,41,105927
2,101,13,3,3,47,81762
4,80,5,8,18,38,90123
4,158,9,8,4,48,159957
5,84,13,4,3,39,81405
4,97,1,8,12,15,112376
2,165,15,5,12,2,157989
2,83,4,5,17,8,97704
4,54,4,3,6,44,62680
2,117,20,7,15,43,103108
5,109,10,9,2,6,129776
1,140,6,9,8,20,128197
5,199,24,1,14,27,190564
5,42,12,1,5,45,50734
2,125,20,5,3,23,114070
1,113,16,1,10,48,96519
2,90,3,4,7,40,91441
3,106,14,1,11,17,116280
2,115,1,2,15,13,122679
2,132,10,2,2,4,125148
2,184,15,4,5,20,168134
1,46,7,8,11,42,38971
2,52,4,2,8,25,50869
1,159,14,9,13,22,137978
4,105,24,9,11,48,89840
3,43,16,2,17,17,49882
1,177,14,1,15,40,154643
4,127,3,9,1,11,146885
1,56,17,2,19,25,36714
1,91,21,8,16,5,72007
3,173,14,3,19,21,174670
5,108,18,1,13,26,107228
5,176,3,1,4,16,188755
1,60,22,2,11,40,32458
2,63,19,7,18,21,47220
4,43,3,6,18,48,45912
2,191,12,2,10,32,179804
2,42,22,4,17,4,25842
1,107,5,2,13,38,104664
1,140,10,1,14,8,129561
1,93,9,3,7,9,82798
1,74,1,4,10,45,55240
5,95,13,5,3,17,111769
1,147,3,5,2,41,145070
